Entity,Code,Year,"DALYs (Disability-Adjusted Life Years) - Ambient particulate matter pollution - Sex: Both - Age: Age-standardized (Rate) (DALYs per 100,000 individuals)"
Afghanistan,AFG,1990,6526.79032622
Afghanistan,AFG,1995,6542.126784450001
Afghanistan,AFG,2000,6521.03159704
Afghanistan,AFG,2005,5928.48696569
Afghanistan,AFG,2006,5822.02114907
Afghanistan,AFG,2010,5077.77858063
Afghanistan,AFG,2016,5243.633134979999
Albania,ALB,1990,1354.58452927
Albania,ALB,1995,1157.9049592899999
Albania,ALB,2000,1008.74945748
Albania,ALB,2005,871.110701667
Albania,ALB,2006,872.157876907
Albania,ALB,2010,867.377374569
Albania,ALB,2016,734.560085934
Algeria,DZA,1990,1655.7819945899998
Algeria,DZA,1995,1448.06839984
Algeria,DZA,2000,1276.39090042
Algeria,DZA,2005,1031.69440404
Algeria,DZA,2006,993.7368321370001
Algeria,DZA,2010,868.8005427720001
Algeria,DZA,2016,918.065995543
American Samoa,ASM,1990,268.742094373
American Samoa,ASM,1995,253.165415987
American Samoa,ASM,2000,240.700778007
American Samoa,ASM,2005,216.98631034299999
American Samoa,ASM,2006,142.29302579400002
American Samoa,ASM,2010,87.454608197
American Samoa,ASM,2016,131.316065738
Andean Latin America,,1990,1764.1711300000002
Andean Latin America,,1995,1509.9929906
Andean Latin America,,2000,1193.44021802
Andean Latin America,,2005,1089.67601539
Andean Latin America,,2006,1013.5620014599999
Andean Latin America,,2010,800.061160519
Andean Latin America,,2016,610.507518734
Andorra,AND,1990,423.10688075
Andorra,AND,1995,370.440347247
Andorra,AND,2000,294.02898737600003
Andorra,AND,2005,269.237966834
Andorra,AND,2006,264.62393585999996
Andorra,AND,2010,255.43745125700002
Andorra,AND,2016,255.835960703
Angola,AGO,1990,3038.4158196099997
Angola,AGO,1995,2886.98989409
Angola,AGO,2000,2832.7670255099997
Angola,AGO,2005,2526.10445777
Angola,AGO,2006,2430.09245674
Angola,AGO,2010,2052.90333143
Angola,AGO,2016,1714.2017611899998
Antigua and Barbuda,ATG,1990,872.6768483230001
Antigua and Barbuda,ATG,1995,783.6020582530001
Antigua and Barbuda,ATG,2000,653.908091897
Antigua and Barbuda,ATG,2005,564.578607134
Antigua and Barbuda,ATG,2006,540.98225344
Antigua and Barbuda,ATG,2010,456.40668682300003
Antigua and Barbuda,ATG,2016,475.525924198
Argentina,ARG,1990,1019.27320355
Argentina,ARG,1995,911.6861982309999
Argentina,ARG,2000,813.998286358
Argentina,ARG,2005,720.589033213
Argentina,ARG,2006,706.70082064
Argentina,ARG,2010,658.333283339
Argentina,ARG,2016,589.894434333
