Entity,Code,Year,"Death rate from ozone (per 100,000)","Death rate from ambient particulate matter (per 100,000 people)","Death rate from indoor solid fuels (per 100,000 people)"
Afghanistan,AFG,1990,1.116571002,131.6609676,161.1323562
Afghanistan,AFG,1995,1.352981326,128.0569239,161.7857139
Afghanistan,AFG,2000,1.475215049,126.28556,158.8649349
Afghanistan,AFG,2005,1.481989329,108.3418378,146.4806264
Afghanistan,AFG,2010,1.501985207,98.73794625,119.2952739
Afghanistan,AFG,2015,1.522492312,90.35070543,100.6437931
Albania,ALB,1990,1.606890692,36.1022976,68.80777073
Albania,ALB,1995,1.440556207,33.57876558,65.47722151
Albania,ALB,2000,1.234750653,32.64762927,57.9188054
Albania,ALB,2005,1.063529362,31.53139842,49.44268731
Albania,ALB,2010,1.215620796,42.26002493,33.24412974
Albania,ALB,2015,1.469153813,51.26087926,25.88810457
Algeria,DZA,1990,0.401374382,26.06654307,5.752755169
Algeria,DZA,1995,0.405965147,24.11941096,3.643571836
Algeria,DZA,2000,0.443206682,24.20353121,2.211572973
Algeria,DZA,2005,0.480859717,23.82267267,0.968098721
Algeria,DZA,2010,0.520101412,24.26394349,0.352195002
Algeria,DZA,2015,0.601246575,30.40154406,0.247115713
American Samoa,ASM,1990,0,5.092057472,12.24020089
American Samoa,ASM,1995,0.0000180968,4.699994315,9.21256069
American Samoa,ASM,2000,0.0000119944,4.581082248,7.239331171
American Samoa,ASM,2005,0,4.376378638,5.650442836
American Samoa,ASM,2010,0,1.811171569,4.141076715
American Samoa,ASM,2015,0.0000171277,2.574781138,3.194411329
Andorra,AND,1990,2.064960063,27.25203231,0
Andorra,AND,1995,2.171836786,26.06798953,0
Andorra,AND,2000,2.20435486,23.90281588,0
Andorra,AND,2005,2.242775008,23.82009261,0
Andorra,AND,2010,2.167075945,24.7983,0
Andorra,AND,2015,2.352661431,27.93571039,0
Angola,AGO,1990,2.058041355,76.7391175,158.2460478
Angola,AGO,1995,1.990644159,67.52369227,138.5322539
Angola,AGO,2000,1.758762664,63.83419386,121.5069904
Angola,AGO,2005,1.723468631,49.92809263,91.96875617
Angola,AGO,2010,1.663742114,42.8120431,80.23030241
Angola,AGO,2015,1.706840703,40.55616155,66.55260804
Antigua and Barbuda,ATG,1990,0.070665146,32.57092321,6.793802459
Antigua and Barbuda,ATG,1995,0.074270349,32.8725786,5.172382953
