Entity,Code,Year,"Deaths - Ambient particulate matter pollution - Sex: Both - Age: Age-standardized (Rate) (deaths per 100,000)"
Afghanistan,AFG,1990,227.815220602
Afghanistan,AFG,1995,232.945011103
Afghanistan,AFG,2000,238.586177827
Afghanistan,AFG,2005,215.77063718399998
Afghanistan,AFG,2006,214.183112784
Afghanistan,AFG,2010,201.35831847100002
Afghanistan,AFG,2016,207.655491534
Albania,ALB,1990,55.9374552438
Albania,ALB,1995,49.05036271749999
Albania,ALB,2000,48.6846938151
Albania,ALB,2005,45.4014171148
Albania,ALB,2006,45.7882750352
Albania,ALB,2010,45.89138904
Albania,ALB,2016,38.9106246796
Algeria,DZA,1990,74.2329621689
Algeria,DZA,1995,67.9447197039
Algeria,DZA,2000,61.7967147019
Algeria,DZA,2005,51.2648316552
Algeria,DZA,2006,49.5928058599
Algeria,DZA,2010,44.141439868700004
Algeria,DZA,2016,47.733217128599996
American Samoa,ASM,1990,11.6585142241
American Samoa,ASM,1995,11.0169406764
American Samoa,ASM,2000,10.6622188184
American Samoa,ASM,2005,9.64976576036
American Samoa,ASM,2006,6.35102052884
American Samoa,ASM,2010,3.9329629352700004
American Samoa,ASM,2016,5.9216754497
Andean Latin America,,1990,61.5142883699
Andean Latin America,,1995,58.292750763
Andean Latin America,,2000,49.6366568027
Andean Latin America,,2005,47.5651612554
Andean Latin America,,2006,44.7949920374
Andean Latin America,,2010,37.3653399516
Andean Latin America,,2016,30.6265709801
Andorra,AND,1990,23.5475842821
Andorra,AND,1995,20.699322263600003
Andorra,AND,2000,16.4551265333
Andorra,AND,2005,15.1331456917
Andorra,AND,2006,14.9042515424
Andorra,AND,2010,14.497003107300001
Andorra,AND,2016,14.5398281575
Angola,AGO,1990,107.425575389
Angola,AGO,1995,107.407747041
Angola,AGO,2000,106.157201664
Angola,AGO,2005,95.8482923479
Angola,AGO,2006,93.045167224
Angola,AGO,2010,80.9414845922
Angola,AGO,2016,75.313050795
Antigua and Barbuda,ATG,1990,44.1265779705
Antigua and Barbuda,ATG,1995,38.3718253535
Antigua and Barbuda,ATG,2000,32.5238375168
Antigua and Barbuda,ATG,2005,28.3225792555
Antigua and Barbuda,ATG,2006,27.286228986900003
Antigua and Barbuda,ATG,2010,22.983101780400002
Antigua and Barbuda,ATG,2016,24.1963285372
Argentina,ARG,1990,49.4617170717
Argentina,ARG,1995,44.505716232
Argentina,ARG,2000,41.6993816109
Argentina,ARG,2005,38.0890885567
Argentina,ARG,2006,37.435410495599996
Argentina,ARG,2010,35.1952862888
Argentina,ARG,2016,31.722792911699997
Armenia,ARM,1990,74.9511517375
Armenia,ARM,1995,75.1059147109
Armenia,ARM,2000,66.3789529502
Armenia,ARM,2005,67.79471958559999
Armenia,ARM,2006,69.37541061820001
Armenia,ARM,2010,68.4241725986
Armenia,ARM,2016,55.6342603186
Australasia,,1990,21.9383656376
Australasia,,1995,18.5277840691
Australasia,,2000,14.9328574184
Australasia,,2005,11.4775889792
Australasia,,2006,10.748273879600001
Australasia,,2010,8.18773002859
Australasia,,2016,7.92747939062
Australia,AUS,1990,21.851311585799998
Australia,AUS,1995,18.438140185600002
Australia,AUS,2000,14.9011626948
Australia,AUS,2005,11.3758443057
Australia,AUS,2006,10.6551741007
Australia,AUS,2010,8.17684835515
Australia,AUS,2016,7.926322065189999
Austria,AUT,1990,43.4463372238
Austria,AUT,1995,37.4112410652
Austria,AUT,2000,31.228907847000002
Austria,AUT,2005,24.984460478299997
Austria,AUT,2006,24.0667843432
Austria,AUT,2010,21.5271684437
Austria,AUT,2016,18.967318197
Azerbaijan,AZE,1990,114.466741809
Azerbaijan,AZE,1995,117.14503918000001
Azerbaijan,AZE,2000,113.230230257
Azerbaijan,AZE,2005,101.258417533
Azerbaijan,AZE,2006,101.291475293
Azerbaijan,AZE,2010,106.513186101
Azerbaijan,AZE,2016,89.3102123065
Bahamas,BHS,1990,47.3874578402
Bahamas,BHS,1995,44.3842789088
Bahamas,BHS,2000,38.6908955771
Bahamas,BHS,2005,33.0130413397
Bahamas,BHS,2006,30.3413919405
Bahamas,BHS,2010,25.1184317293
Bahamas,BHS,2016,26.9518284644
Bahrain,BHR,1990,138.438194016
Bahrain,BHR,1995,125.174406365
Bahrain,BHR,2000,104.94780629
Bahrain,BHR,2005,82.063060667
Bahrain,BHR,2006,80.1240794561
Bahrain,BHR,2010,67.9373202504
Bahrain,BHR,2016,62.7120670986
Bangladesh,BGD,1990,141.544680095
Bangladesh,BGD,1995,130.59848492700002
Bangladesh,BGD,2000,119.126325036
Bangladesh,BGD,2005,123.379377544
Bangladesh,BGD,2006,123.241786394
Bangladesh,BGD,2010,118.05081474900001
Bangladesh,BGD,2016,116.52298535099999
Barbados,BRB,1990,42.642292118600004
Barbados,BRB,1995,40.322306492100005
Barbados,BRB,2000,32.0363892677
Barbados,BRB,2005,26.226085040699996
Barbados,BRB,2006,25.4302004909
Barbados,BRB,2010,21.660875141400002
Barbados,BRB,2016,25.3002109978
Belarus,BLR,1990,97.9114672931
Belarus,BLR,1995,104.30829417300001
Belarus,BLR,2000,98.4254428389
Belarus,BLR,2005,93.9840074805
Belarus,BLR,2006,91.1019106276
Belarus,BLR,2010,86.3730916621
Belarus,BLR,2016,67.26404079390001
Belgium,BEL,1990,46.120855227
Belgium,BEL,1995,38.915450871000004
Belgium,BEL,2000,34.392839153400004
Belgium,BEL,2005,28.656499456800002
Belgium,BEL,2006,27.466526070500002
Belgium,BEL,2010,24.877770711600004
Belgium,BEL,2016,22.076973163199998
Belize,BLZ,1990,60.947778291999995
Belize,BLZ,1995,69.0726161302
Belize,BLZ,2000,74.2058279372
Belize,BLZ,2005,61.868542903
Belize,BLZ,2006,58.4870759597
Belize,BLZ,2010,48.7238540056
Belize,BLZ,2016,47.1166097445
Benin,BEN,1990,125.62941323599999
Benin,BEN,1995,122.44059446399999
Benin,BEN,2000,118.976508412
Benin,BEN,2005,99.765991833
Benin,BEN,2006,98.0718548376
Benin,BEN,2010,94.3763803222
Benin,BEN,2016,122.93157352
Bermuda,BMU,1990,64.4952927305
Bermuda,BMU,1995,54.849511349500006
Bermuda,BMU,2000,46.1128025448
Bermuda,BMU,2005,34.373434174100005
Bermuda,BMU,2006,32.2892841306
Bermuda,BMU,2010,23.2088282747
Bermuda,BMU,2016,19.9542188602
Bhutan,BTN,1990,120.13662212799998
Bhutan,BTN,1995,111.161916338
Bhutan,BTN,2000,97.44530903670001
Bhutan,BTN,2005,94.1716077031
Bhutan,BTN,2006,91.2143101225
Bhutan,BTN,2010,83.2227096325
Bhutan,BTN,2016,80.4497492815
Bolivia,BOL,1990,96.03188133729999
Bolivia,BOL,1995,84.8967341843
Bolivia,BOL,2000,72.71132183600001
Bolivia,BOL,2005,72.9443405151
Bolivia,BOL,2006,69.20823514119999
Bolivia,BOL,2010,57.8927091801
Bolivia,BOL,2016,45.8726247576
Bosnia and Herzegovina,BIH,1990,105.806415717
Bosnia and Herzegovina,BIH,1995,94.2531748465
Bosnia and Herzegovina,BIH,2000,76.2119759054
Bosnia and Herzegovina,BIH,2005,65.7941545035
Bosnia and Herzegovina,BIH,2006,64.66966196029999
Bosnia and Herzegovina,BIH,2010,60.053025166299996
Bosnia and Herzegovina,BIH,2016,55.90147928380001
Botswana,BWA,1990,73.4741838274
Botswana,BWA,1995,73.197869165
Botswana,BWA,2000,89.7084452203
Botswana,BWA,2005,81.57158867860001
Botswana,BWA,2006,76.5741698124
Botswana,BWA,2010,61.18018031810001
Botswana,BWA,2016,61.303402813299996
Brazil,BRA,1990,59.9739370908
Brazil,BRA,1995,56.3056258163
Brazil,BRA,2000,50.984225441300005
Brazil,BRA,2005,39.3474579543
Brazil,BRA,2006,36.9973771208
Brazil,BRA,2010,29.0837874025
Brazil,BRA,2016,28.4223756359
Brunei,BRN,1990,21.1086704546
Brunei,BRN,1995,19.373376367800002
Brunei,BRN,2000,15.5325461221
Brunei,BRN,2005,20.7038645137
Brunei,BRN,2006,19.8219402925
Brunei,BRN,2010,16.2495271997
Brunei,BRN,2016,16.2968048623
Bulgaria,BGR,1990,121.203377439
Bulgaria,BGR,1995,110.995144778
Bulgaria,BGR,2000,96.540062686
Bulgaria,BGR,2005,81.4500683341
Bulgaria,BGR,2006,81.3934298905
Bulgaria,BGR,2010,76.6906682613
Bulgaria,BGR,2016,67.3781715682
Burkina Faso,BFA,1990,128.106534747
Burkina Faso,BFA,1995,121.954913908
Burkina Faso,BFA,2000,120.869013787
Burkina Faso,BFA,2005,108.139999938
Burkina Faso,BFA,2006,107.31110572200001
Burkina Faso,BFA,2010,105.21666362900001
Burkina Faso,BFA,2016,123.25105225099999
Burundi,BDI,1990,160.367419733
Burundi,BDI,1995,155.348989862
Burundi,BDI,2000,135.229175296
Burundi,BDI,2005,110.061839903
Burundi,BDI,2006,106.03932372999999
Burundi,BDI,2010,95.0720339632
Burundi,BDI,2016,96.830081968
Cambodia,KHM,1990,100.233370323
Cambodia,KHM,1995,99.59242484939999
Cambodia,KHM,2000,96.371521583
Cambodia,KHM,2005,93.5376003623
Cambodia,KHM,2006,89.2071983414
Cambodia,KHM,2010,77.64907053270001
Cambodia,KHM,2016,72.6381622363
Cameroon,CMR,1990,138.517903448
Cameroon,CMR,1995,143.764377137
Cameroon,CMR,2000,153.767933229
Cameroon,CMR,2005,139.923933213
Cameroon,CMR,2006,137.550731053
Cameroon,CMR,2010,128.890709818
Cameroon,CMR,2016,147.805143378
Canada,CAN,1990,23.3761763921
Canada,CAN,1995,20.8113794107
Canada,CAN,2000,17.8335917394
Canada,CAN,2005,15.488585615900002
Canada,CAN,2006,14.594729776400001
Canada,CAN,2010,11.7731173991
Canada,CAN,2016,11.3974306468
Cape Verde,CPV,1990,89.13942727
Cape Verde,CPV,1995,90.7391527896
Cape Verde,CPV,2000,84.5091909898
Cape Verde,CPV,2005,68.5413303925
Cape Verde,CPV,2006,68.3959957397
Cape Verde,CPV,2010,66.19708602189999
Cape Verde,CPV,2016,79.584680517
Caribbean,,1990,62.58026431140001
Caribbean,,1995,58.453296404700005
Caribbean,,2000,53.21487058180001
Caribbean,,2005,46.5695074625
Caribbean,,2006,44.8430575356
Caribbean,,2010,38.7247030618
Caribbean,,2016,38.3006761055
Central African Republic,CAF,1990,149.136875308
Central African Republic,CAF,1995,150.913985647
Central African Republic,CAF,2000,152.465244558
Central African Republic,CAF,2005,146.85810400600002
Central African Republic,CAF,2006,146.454271995
Central African Republic,CAF,2010,137.55184376699998
Central African Republic,CAF,2016,152.212158615
Central Asia,,1990,106.71839485099999
Central Asia,,1995,115.14555207199999
Central Asia,,2000,111.54902101500001
Central Asia,,2005,103.889448075
Central Asia,,2006,102.43469271999999
Central Asia,,2010,95.3381786545
Central Asia,,2016,86.6965352502
Central Europe,,1990,100.809031927
Central Europe,,1995,86.59063424690001
Central Europe,,2000,70.4163688135
Central Europe,,2005,59.553519563600005
Central Europe,,2006,58.5136244392
Central Europe,,2010,54.642615628
Central Europe,,2016,46.3097924872
Central Latin America,,1990,47.143170005799995
Central Latin America,,1995,45.5576490871
Central Latin America,,2000,41.512571308800005
Central Latin America,,2005,37.8008158058
Central Latin America,,2006,36.3165245609
Central Latin America,,2010,31.444359059599996
Central Latin America,,2016,29.1480018994
Central Sub-Saharan Africa,,1990,111.36918112500001
Central Sub-Saharan Africa,,1995,111.107177673
Central Sub-Saharan Africa,,2000,110.345527082
Central Sub-Saharan Africa,,2005,100.378683158
Central Sub-Saharan Africa,,2006,98.7946626213
Central Sub-Saharan Africa,,2010,91.6049970421
Central Sub-Saharan Africa,,2016,94.2554452963
Chad,TCD,1990,123.983393992
Chad,TCD,1995,125.431598845
Chad,TCD,2000,132.760960231
Chad,TCD,2005,122.228113175
Chad,TCD,2006,120.326189828
Chad,TCD,2010,118.45063586100001
Chad,TCD,2016,130.23060709199999
Chile,CHL,1990,50.305755651599995
Chile,CHL,1995,43.3022604105
Chile,CHL,2000,33.9231434135
Chile,CHL,2005,29.2009227415
Chile,CHL,2006,27.8303982405
Chile,CHL,2010,25.3143422662
Chile,CHL,2016,22.967037073700002
China,CHN,1990,145.709491947
China,CHN,1995,140.35353733099998
China,CHN,2000,128.442157875
China,CHN,2005,114.502818876
China,CHN,2006,108.512690902
China,CHN,2010,97.2270576212
China,CHN,2016,79.7682558133
Colombia,COL,1990,48.7573539407
Colombia,COL,1995,46.432193511899996
Colombia,COL,2000,41.9530267991
Colombia,COL,2005,39.893395411099995
Colombia,COL,2006,39.0880193844
Colombia,COL,2010,31.739423747800004
Colombia,COL,2016,26.9571072755
Comoros,COM,1990,82.71075553189999
Comoros,COM,1995,78.7318870483
Comoros,COM,2000,70.5973359514
Comoros,COM,2005,59.446471447499995
Comoros,COM,2006,57.65211993329999
Comoros,COM,2010,50.2371644546
Comoros,COM,2016,50.882856494799995
Congo,COG,1990,147.625647595
Congo,COG,1995,147.369272564
Congo,COG,2000,141.261558613
Congo,COG,2005,115.494316231
Congo,COG,2006,111.609090468
Congo,COG,2010,97.3103890996
Congo,COG,2016,92.9273822261
Costa Rica,CRI,1990,38.0948301384
Costa Rica,CRI,1995,35.0570090833
Costa Rica,CRI,2000,31.452153994200003
Costa Rica,CRI,2005,24.552807390100003
Costa Rica,CRI,2006,22.6371229802
Costa Rica,CRI,2010,17.3416121701
